comentario,etiqueta
"El apoyo psicológico es excelente, me ayudaron a manejar la ansiedad.",2
"La atención psicológica es adecuada, aunque podría ser más profunda.",1
"Las sesiones de psicología no me ayudaron, no hubo soluciones claras.",0
"El servicio de nutrición es muy útil, ahora tengo un plan alimenticio personalizado.",2
"La asesoría nutricional es informativa, pero esperaba recomendaciones más detalladas.",1
"No me sirvió la consulta de nutrición, los consejos fueron muy genéricos.",0
"El médico fue muy profesional y resolvió todas mis dudas en la consulta general.",2
"La consulta médica estuvo bien, aunque tardaron un poco en atenderme.",1
"La atención médica no fue buena, el doctor no me escuchó realmente.",0
"El equipo de salud mental realmente me ayudó a mejorar mi bienestar.",2
"La terapia psicológica me pareció útil, pero esperaba técnicas más concretas.",1
"La sesión de psicología fue muy breve y poco efectiva.",0
"El plan alimenticio recomendado ha mejorado mi salud significativamente.",2
"La consulta de nutrición estuvo bien, aunque esperaba más seguimiento.",1
"Las recomendaciones nutricionales no se ajustaban a mis necesidades.",0
"La atención médica fue excelente, muy rápida y profesional.",2
"El servicio médico cumple su función, aunque la espera fue algo larga.",1
"El diagnóstico no fue preciso, tuve que buscar otra opinión médica.",0
"La consulta psicológica fue muy útil, siento que me comprendieron realmente.",2
"Me ayudaron en la terapia, pero esperaba una orientación más personalizada.",1
"No sentí conexión con el psicólogo, la sesión fue poco efectiva.",0
"El plan nutricional ha mejorado mi salud considerablemente, excelente servicio.",2
"La consulta nutricional estuvo bien, pero faltó detalle en las recomendaciones.",1
"Las sugerencias nutricionales no fueron prácticas para mi situación.",0
"La atención médica fue rápida y precisa, excelente profesionalismo.",2
"El médico atendió bien mi consulta, aunque la espera fue algo larga.",1
"No me dieron un diagnóstico claro, tuve que buscar otra opinión.",0
"Las sesiones de psicología me han ayudado mucho a manejar el estrés.",2
"Buena atención psicológica, pero siento que falta más seguimiento.",1
"No me sentí escuchado en la terapia, esperaba mejor orientación.",0
"Me ayudaron a crear un plan nutricional acorde a mis necesidades.",2
"La consulta nutricional fue útil, pero esperaba más profundidad en las explicaciones.",1
"El plan de alimentación no tuvo en cuenta mi condición médica.",0
"La consulta médica fue excelente, resolvieron todas mis dudas.",2
"El servicio médico es aceptable, pero podrían mejorar la organización.",1
"El diagnóstico fue apresurado, no me explicaron bien la situación.",0
"La terapia psicológica me está ayudando mucho con la ansiedad.",2
"Siento que el servicio de psicología es útil, pero falta personal especializado.",1
"No sentí avances en la terapia, los ejercicios no fueron efectivos.",0
"La asesoría nutricional me dio herramientas valiosas para mejorar mi alimentación.",2
"La consulta de nutrición es buena, aunque sería mejor con más ejemplos prácticos.",1
"Las recomendaciones no se adaptaban a mi estilo de vida, poco funcionales.",0
"La atención médica fue rápida y efectiva, excelente servicio.",2
